,mean,std
0,29.488210678100586,2.9804201126098633
1,27.403396606445312,2.609433650970459
2,26.235382080078125,2.380496025085449
3,25.479101181030273,2.274937868118286
4,24.910215377807617,2.1216537952423096
5,24.376867294311523,1.976741075515747
6,23.94423484802246,1.8340466022491455
7,23.61189079284668,1.732898473739624
8,23.368242263793945,1.6499667167663574
9,23.136104583740234,1.5824295282363892
10,22.964094161987305,1.5376299619674683
11,22.822797775268555,1.4952195882797241
12,22.696603775024414,1.4446310997009277
13,22.576038360595703,1.4290791749954224
14,22.49461555480957,1.442359209060669
15,22.427268981933594,1.4450668096542358
