,baseline,use_haptic,use_haptic_audio,use_haptic_audio_vibro
0,28.44232940673828,30.10349464416504,29.55327606201172,29.788047790527344
1,26.704421997070312,28.759563446044922,28.13560676574707,28.494388580322266
2,25.75653076171875,28.043603897094727,27.361774444580078,27.769607543945312
3,25.081575393676758,27.572961807250977,26.835996627807617,27.292509078979492
4,24.591964721679688,27.187458038330078,26.41522789001465,26.89952278137207
5,24.126766204833984,26.72364044189453,25.95631217956543,26.437589645385742
6,23.749948501586914,26.245038986206055,25.560338973999023,26.02251434326172
7,23.46217918395996,25.82741928100586,25.243820190429688,25.67033576965332
8,23.256834030151367,25.551713943481445,25.040258407592773,25.45247459411621
9,23.054025650024414,25.2674617767334,24.833728790283203,25.24101448059082
10,22.900955200195312,25.05028533935547,24.69719123840332,25.086666107177734
11,22.76308822631836,24.86895179748535,24.578998565673828,24.941612243652344
12,22.65582847595215,24.743026733398438,24.496564865112305,24.819665908813477
13,22.53502082824707,24.592687606811523,24.39815330505371,24.67436408996582
14,22.441986083984375,24.49166488647461,24.313501358032227,24.582059860229492
15,22.361299514770508,24.39577865600586,24.22190284729004,24.491565704345703
